ageDifference,weightDifference,heightDifference,ref,round,weightClass,method
,9,2,John McCarthy,1,Heavyweight,Submission
,43,4,John McCarthy,1,Light Heavyweight,TKO
,55,10,John McCarthy,1,Super Heavyweight,TKO
,,,John McCarthy,1,Light Heavyweight,TKO
,,,John McCarthy,1,Heavyweight,TKO
2,40,0,John McCarthy,1,Heavyweight,Submission
6,41,1,John McCarthy,1,Heavyweight,Submission
2,40,2,John McCarthy,1,Heavyweight,Submission
4,50,8,John McCarthy,1,Heavyweight,TKO
1,40,2,John McCarthy,1,Heavyweight,Submission
,20,4,John McCarthy,1,Heavyweight,Submission
,70,10,John McCarthy,1,Super Heavyweight,KO
,150,2,John McCarthy,1,Heavyweight,KO
4,46,,N/A,1,Welterweight,Submission
,16,0,N/A,1,Light Heavyweight,Submission
8,90,7,John McCarthy,1,Heavyweight,TKO
3,2,1,John McCarthy,1,Heavyweight,Draw
,40,1,John McCarthy,1,Heavyweight,Submission
,110,8,N/A,1,Super Heavyweight,Submission
,38,1,John McCarthy,1,Heavyweight,Submission
,15,1,John McCarthy,1,Heavyweight,Submission
,50,2,John McCarthy,1,Light Heavyweight,Submission
,13,0,John McCarthy,1,Super Heavyweight,Submission
,70,4,N/A,1,Heavyweight,Submission
,,,John McCarthy,1,N/A,Submission
,,,John McCarthy,1,Light Heavyweight,TKO
1,30,2,John McCarthy,1,Heavyweight,Submission
4,23,2,John McCarthy,1,Heavyweight,Submission
8,41,4,John McCarthy,1,Heavyweight,TKO
0,15,2,John McCarthy,1,Heavyweight,TKO
,,,John McCarthy,1,Heavyweight,KO
9,124,0,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Super Heavyweight,Decision
,200,0,John McCarthy,1,Heavyweight,KO
,38,6,John McCarthy,1,Heavyweight,Submission
6,41,1,John McCarthy,1,Heavyweight,Decision
,25,4,John McCarthy,1,Heavyweight,TKO
,200,7,John McCarthy,1,Light Heavyweight,TKO
6,37,5,John McCarthy,1,Light Heavyweight,TKO
,0,6,John McCarthy,1,Heavyweight,TKO
,0,8,John McCarthy,1,Heavyweight,TKO
,,,N/A,1,Heavyweight,TKO
1,5,0,John McCarthy,1,Light Heavyweight,TKO
2,35,2,John McCarthy,1,Light Heavyweight,Submission
3,12,3,John McCarthy,1,Heavyweight,Submission
,5,6,John McCarthy,1,Heavyweight,KO
0,0,0,John McCarthy,1,Light Heavyweight,Submission
,13,0,John McCarthy,1,Heavyweight,Submission
,20,1,John McCarthy,1,Heavyweight,TKO
,5,4,N/A,1,Heavyweight,Decision
,,,N/A,1,N/A,TKO
0,73,1,John McCarthy,1,Super Heavyweight,Decision
4,17,3,John McCarthy,1,Light Heavyweight,Submission
4,6,1,John McCarthy,1,Light Heavyweight,Decision
0,25,3,John McCarthy,1,Heavyweight,Submission
,17,5,John McCarthy,1,Heavyweight,TKO
,95,2,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Heavyweight,Submission
,73,3,John McCarthy,1,Super Heavyweight,Submission
4,10,3,John McCarthy,1,Heavyweight,Submission
1,65,5,John McCarthy,1,Heavyweight,TKO
,20,2,John McCarthy,1,Heavyweight,Submission
1,30,2,John McCarthy,1,Heavyweight,Submission
,,,N/A,1,N/A,Submission
,30,1,N/A,1,Heavyweight,Submission
,30,1,N/A,1,Light Heavyweight,TKO
0,40,1,John McCarthy,1,Heavyweight,Submission
,0,0,John McCarthy,1,Heavyweight,KO
,20,1,John McCarthy,1,Heavyweight,Submission
6,48,1,John McCarthy,1,Light Heavyweight,Submission
12,138,1,John McCarthy,1,Middleweight,TKO
,9,2,John McCarthy,1,Light Heavyweight,Submission
12,48,2,John McCarthy,1,Middleweight,TKO
,108,2,John McCarthy,1,Super Heavyweight,TKO
1,21,3,John McCarthy,1,Light Heavyweight,Decision
,4,1,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Light Heavyweight,TKO
12,65,0,John McCarthy,1,Middleweight,TKO
,87,0,John McCarthy,1,Light Heavyweight,TKO
7,5,1,John McCarthy,1,Light Heavyweight,Submission
,97,3,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Super Heavyweight,Submission
,,,John McCarthy,1,Light Heavyweight,Submission
6,0,1,John McCarthy,1,Light Heavyweight,Decision
,,,Joe Hamilton,1,N/A,TKO
,,,Joe Hamilton,1,Light Heavyweight,TKO
3,1,1,John McCarthy,1,Light Heavyweight,Decision
2,77,2,John McCarthy,1,Heavyweight,Submission
,44,2,John McCarthy,1,Light Heavyweight,Submission
2,110,3,John McCarthy,1,Super Heavyweight,TKO
4,50,2,John McCarthy,1,Heavyweight,TKO
,1,3,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,N/A,Decision
,24,5,John McCarthy,1,Heavyweight,TKO
,,,John McCarthy,1,Lightweight,Submission
4,44,2,John McCarthy,1,Light Heavyweight,Submission
,43,5,John McCarthy,1,Heavyweight,Submission
14,18,1,John McCarthy,1,Light Heavyweight,TKO
0,20,2,John McCarthy,1,Heavyweight,Decision
,15,8,John McCarthy,1,Heavyweight,KO
,7,2,Joe Hamilton,1,Heavyweight,TKO
,49,8,Joe Hamilton,1,Heavyweight,Decision
,10,3,John McCarthy,1,Middleweight,KO
2,10,4,John McCarthy,1,Heavyweight,Decision
3,14,2,John McCarthy,1,Welterweight,Submission
,0,1,John McCarthy,1,Light Heavyweight,TKO
0,1,5,Joe Hamilton,1,Welterweight,Decision
,10,2,Joe Hamilton,1,Welterweight,TKO
,20,6,Joe Hamilton,1,Lightweight,Submission
,26,2,Joe Hamilton,1,Middleweight,TKO
3,1,3,John McCarthy,1,Middleweight,Submission
11,20,2,John McCarthy,1,Heavyweight,KO
6,11,4,John McCarthy,1,Middleweight,Decision
3,10,0,John McCarthy,1,Heavyweight,TKO
,5,1,John McCarthy,1,Light Heavyweight,Submission
2,36,6,John McCarthy,1,Middleweight,Submission
1,20,1,John McCarthy,1,Middleweight,Decision
3,70,3,John McCarthy,1,Super Heavyweight,KO
,,,John McCarthy,1,Light Heavyweight,Decision
4,3,1,John McCarthy,1,Middleweight,Submission
1,0,2,John McCarthy,1,Middleweight,TKO
9,6,1,John McCarthy,1,Heavyweight,KO
6,1,4,John McCarthy,1,Welterweight,Decision
5,0,4,John McCarthy,1,Heavyweight,Decision
6,13,1,John McCarthy,1,Light Heavyweight,Submission
,,,John McCarthy,1,Middleweight,TKO
,,,John McCarthy,1,Lightweight,TKO
5,20,2,John McCarthy,1,Light Heavyweight,TKO
5,14,2,John McCarthy,1,Welterweight,Decision
10,39,0,John McCarthy,1,Heavyweight,Decision
1,6,3,John McCarthy,1,Light Heavyweight,TKO
6,0,1,John McCarthy,1,Welterweight,Decision
9,13,4,John McCarthy,1,Middleweight,Submission
3,20,4,John McCarthy,1,Middleweight,Submission
7,5,1,John McCarthy,1,Light Heavyweight,TKO
1,105,1,John McCarthy,1,Heavyweight,Submission
6,19,1,John McCarthy,1,Middleweight,TKO
10,1,4,John McCarthy,1,Light Heavyweight,Decision
,6,3,John McCarthy,1,Middleweight,TKO
11,20,1,John McCarthy,1,Heavyweight,Submission
,,,N/A,1,N/A,TKO
6,0,3,John McCarthy,1,Light Heavyweight,Decision
9,11,1,John McCarthy,1,Heavyweight,KO
2,5,3,John McCarthy,1,Heavyweight,Submission
10,11,1,John McCarthy,1,Middleweight,KO
,,,John McCarthy,1,N/A,TKO
3,30,3,John McCarthy,1,Middleweight,TKO
,,,John McCarthy,1,Heavyweight,TKO
0,4,1,John McCarthy,1,Light Heavyweight,TKO
1,9,2,John McCarthy,2,Welterweight,TKO
3,3,1,John McCarthy,1,Middleweight,TKO
,11,2,John McCarthy,1,Light Heavyweight,Submission
5,0,2,John McCarthy,2,Heavyweight,TKO
,,,John McCarthy,2,Middleweight,KO
0,85,0,John McCarthy,1,Super Heavyweight,KO
,25,2,John McCarthy,2,Heavyweight,Decision
3,20,4,John McCarthy,4,Middleweight,Submission
0,35,1,John McCarthy,3,Heavyweight,Draw
11,59,1,John McCarthy,1,Middleweight,Submission
,0,4,John McCarthy,1,Heavyweight,KO
,7,5,John McCarthy,1,Light Heavyweight,TKO
,21,0,John McCarthy,3,Welterweight,Decision
,2,6,John McCarthy,3,Welterweight,TKO
4,0,4,John McCarthy,2,Bantamweight,Draw
,30,1,John McCarthy,1,Heavyweight,TKO
3,0,2,John McCarthy,3,Middleweight,KO
4,30,2,John McCarthy,3,Middleweight,Decision
,1,1,John McCarthy,2,Welterweight,Submission
,10,2,John McCarthy,2,Bantamweight,TKO
4,20,1,John McCarthy,1,Heavyweight,Submission
,6,2,John McCarthy,2,Middleweight,Decision
1,20,4,John McCarthy,5,Light Heavyweight,Decision
4,13,2,John McCarthy,2,Middleweight,Submission
1,15,1,John McCarthy,1,Light Heavyweight,Submission
3,56,2,John McCarthy,3,Heavyweight,Decision
1,14,3,John McCarthy,3,Middleweight,TKO
4,40,3,John McCarthy,3,Middleweight,Decision
3,39,3,John McCarthy,5,Light Heavyweight,Decision
,8,5,John McCarthy,3,Heavyweight,Decision
11,14,0,John McCarthy,2,Welterweight,Submission
,15,2,John McCarthy,2,Middleweight,DQ
,2,1,John McCarthy,1,Welterweight,TKO
3,10,1,John McCarthy,3,Bantamweight,Decision
,25,2,John McCarthy,2,Light Heavyweight,Submission
9,1,1,John McCarthy,2,Middleweight,Decision
16,9,1,John McCarthy,1,Heavyweight,Submission
5,39,0,John McCarthy,3,Light Heavyweight,Decision
5,1,5,John McCarthy,1,Middleweight,Submission
3,30,3,John McCarthy,1,Lightweight,Submission
4,68,3,John McCarthy,3,Welterweight,TKO
1,45,1,John McCarthy,3,Light Heavyweight,Decision
6,13,4,John McCarthy,2,Heavyweight,Decision
,0,1,N/A,2,Welterweight,Draw
8,2,3,John McCarthy,3,Light Heavyweight,TKO
14,1,2,John McCarthy,3,Light Heavyweight,Decision
1,12,7,John McCarthy,2,Heavyweight,TKO
5,38,1,John McCarthy,1,Heavyweight,Submission
5,25,5,John McCarthy,1,Bantamweight,KO
3,10,6,John McCarthy,2,Middleweight,Decision
,1,,John McCarthy,2,Welterweight,Decision
0,35,3,John McCarthy,1,Light Heavyweight,Submission
8,16,1,John McCarthy,2,Welterweight,Submission
0,13,1,John McCarthy,1,Middleweight,TKO
8,28,4,John McCarthy,1,Lightweight,TKO
1,0,3,John McCarthy,1,Middleweight,TKO
2,11,0,John McCarthy,1,Middleweight,Submission
2,33,5,John McCarthy,3,Light Heavyweight,Decision
4,20,2,John McCarthy,1,Light Heavyweight,KO
1,10,0,John McCarthy,5,Bantamweight,Decision
0,5,6,John McCarthy,1,Lightweight,Submission
4,13,2,John McCarthy,1,Light Heavyweight,Submission
3,4,2,John McCarthy,2,Heavyweight,KO
4,55,2,John McCarthy,1,Heavyweight,NC
3,15,4,John McCarthy,2,Welterweight,Decision
4,14,4,Mason White,2,Lightweight,Submission
11,41,0,N/A,5,Light Heavyweight,Decision
8,5,1,N/A,3,Middleweight,Submission
2,0,4,N/A,1,Light Heavyweight,KO
2,6,3,N/A,3,Middleweight,KO
2,31,8,N/A,2,Heavyweight,TKO
6,15,1,N/A,3,Middleweight,DQ
8,9,4,N/A,1,Featherweight,TKO
1,1,2,N/A,3,Welterweight,Decision
4,6,1,N/A,1,Light Heavyweight,TKO
2,2,0,N/A,1,Featherweight,TKO
4,8,8,N/A,1,Heavyweight,Submission
4,7,1,N/A,2,Welterweight,KO
5,10,1,N/A,1,Featherweight,TKO
4,35,2,N/A,3,Light Heavyweight,Decision
2,27,0,N/A,3,Heavyweight,TKO
1,14,4,N/A,1,Welterweight,Submission
4,0,1,N/A,5,Light Heavyweight,Decision
1,46,2,N/A,5,Bantamweight,Decision
3,20,1,N/A,3,Light Heavyweight,Decision
2,15,4,N/A,3,Welterweight,Decision
9,15,1,N/A,5,Middleweight,Decision
4,1,3,N/A,2,Welterweight,KO
6,15,3,N/A,1,Welterweight,Submission
6,12,1,N/A,3,Featherweight,Decision
11,41,0,N/A,3,Light Heavyweight,TKO
2,11,1,N/A,2,Heavyweight,TKO
3,4,0,N/A,2,Welterweight,KO
3,0,2,N/A,1,Featherweight,KO
11,3,1,N/A,2,Heavyweight,Submission
0,20,2,N/A,2,Middleweight,Submission
6,15,3,N/A,3,Middleweight,Decision
11,35,0,N/A,1,Heavyweight,Submission
4,10,2,N/A,5,Bantamweight,Decision
6,24,7,N/A,3,Heavyweight,TKO
8,0,3,N/A,2,Middleweight,TKO
7,20,5,N/A,3,Light Heavyweight,Decision
1,15,1,N/A,2,Middleweight,TKO
4,0,2,N/A,3,Light Heavyweight,Decision
6,15,1,N/A,3,Welterweight,Decision
5,0,4,N/A,2,Middleweight,Submission
14,45,2,N/A,2,Heavyweight,TKO
5,3,3,N/A,3,Heavyweight,KO
2,2,2,N/A,4,Welterweight,TKO
2,16,2,N/A,1,Middleweight,TKO
0,14,3,N/A,1,Middleweight,TKO
4,37,0,N/A,1,Heavyweight,Submission
3,15,2,N/A,1,Welterweight,Submission
3,15,3,N/A,3,Lightweight,Decision
4,0,1,N/A,3,Middleweight,Submission
7,11,5,N/A,2,Heavyweight,TKO
8,10,3,N/A,2,Featherweight,TKO
0,15,0,N/A,1,Welterweight,TKO
1,10,3,N/A,3,Featherweight,Decision
6,0,0,N/A,3,Middleweight,TKO
6,15,0,N/A,1,Middleweight,NC
2,15,2,N/A,3,Welterweight,Decision
8,20,2,N/A,3,Light Heavyweight,Decision
,,,N/A,3,Middleweight,Decision
3,0,1,N/A,1,Welterweight,Submission
9,0,1,N/A,2,Welterweight,TKO
,30,,N/A,2,Lightweight,TKO
5,15,3,N/A,1,Lightweight,TKO
3,4,0,N/A,4,Welterweight,TKO
9,57,4,N/A,1,Light Heavyweight,TKO
3,0,6,N/A,1,Middleweight,KO
2,10,2,N/A,2,Lightweight,Submission
,3,3,N/A,3,Middleweight,Decision
4,6,3,N/A,3,Light Heavyweight,Decision
2,13,1,N/A,3,Middleweight,Decision
14,11,3,N/A,5,Heavyweight,Submission
,5,5,N/A,2,Heavyweight,TKO
4,25,3,N/A,3,Featherweight,Decision
1,2,2,N/A,3,Featherweight,Decision
2,16,9,N/A,1,Heavyweight,TKO
2,15,1,N/A,1,Welterweight,KO
1,0,0,N/A,3,Middleweight,Decision
6,30,4,N/A,1,Lightweight,TKO
11,7,1,N/A,3,Light Heavyweight,TKO
6,0,2,N/A,1,Light Heavyweight,KO
8,0,0,N/A,1,Welterweight,TKO
5,4,0,N/A,1,Middleweight,Submission
5,1,1,N/A,1,Welterweight,TKO
9,36,5,N/A,1,Heavyweight,TKO
7,54,2,N/A,1,Light Heavyweight,Submission
,3,3,N/A,2,Middleweight,Submission
3,51,4,N/A,1,Heavyweight,TKO
14,12,3,Larry Landless,1,Heavyweight,Submission
3,0,2,N/A,5,Featherweight,Draw
6,15,3,N/A,3,Middleweight,Decision
3,39,0,N/A,3,Light Heavyweight,Decision
2,27,3,N/A,3,Featherweight,Decision
3,22,8,N/A,1,Heavyweight,TKO
0,0,1,N/A,3,Lightweight,Submission
0,15,3,N/A,5,Welterweight,Decision
11,0,2,N/A,2,Welterweight,Submission
,3,0,N/A,3,Welterweight,Decision
,25,3,N/A,2,Heavyweight,TKO
3,0,1,N/A,1,Middleweight,TKO
0,15,1,N/A,3,Welterweight,Decision
5,0,1,N/A,3,Lightweight,Decision
12,7,2,N/A,1,Light Heavyweight,KO
6,2,1,N/A,3,Light Heavyweight,TKO
3,15,3,N/A,1,Heavyweight,Submission
,0,3,N/A,3,Lightweight,Decision
6,22,3,N/A,1,Middleweight,TKO
1,0,1,N/A,3,Light Heavyweight,Draw
0,4,6,N/A,1,Heavyweight,DQ
4,0,2,N/A,1,Middleweight,TKO
9,11,1,N/A,2,Heavyweight,TKO
12,2,1,N/A,5,Light Heavyweight,Decision
8,36,3,N/A,1,Heavyweight,KO
2,5,2,N/A,1,Heavyweight,TKO
7,7,1,N/A,3,Middleweight,Decision
8,20,0,N/A,1,Middleweight,TKO
13,2,0,N/A,1,Welterweight,Submission
1,2,1,N/A,1,Lightweight,KO
1,0,3,N/A,3,Welterweight,Submission
1,10,1,N/A,2,Lightweight,KO
1,11,1,N/A,1,Welterweight,Submission
4,0,2,N/A,3,Middleweight,TKO
,10,3,N/A,1,Heavyweight,TKO
5,15,3,N/A,1,Middleweight,TKO
8,0,0,N/A,3,Welterweight,Decision
3,30,3,N/A,3,Heavyweight,Decision
,30,2,N/A,1,Middleweight,Submission
3,0,,N/A,2,Lightweight,TKO
14,18,1,N/A,1,Middleweight,TKO
5,25,0,N/A,1,Featherweight,Submission
,4,4,N/A,3,Welterweight,Decision
0,4,6,N/A,2,Heavyweight,KO
5,0,1,N/A,1,Middleweight,Submission
1,1,0,N/A,3,Welterweight,Decision
4,2,4,N/A,3,Lightweight,Decision
3,35,0,N/A,3,Welterweight,Decision
6,0,0,N/A,2,Light Heavyweight,KO
3,1,1,N/A,2,Welterweight,Submission
2,0,4,N/A,3,Lightweight,Decision
,19,1,N/A,2,Heavyweight,TKO
1,0,2,N/A,2,Welterweight,KO
1,53,6,N/A,1,Light Heavyweight,KO
,10,0,N/A,1,Heavyweight,TKO
3,10,3,N/A,1,Lightweight,Submission
4,23,2,N/A,1,Heavyweight,KO
3,0,1,N/A,1,Middleweight,TKO
5,3,5,N/A,1,Heavyweight,TKO
,0,4,N/A,3,Welterweight,Decision
5,15,3,N/A,3,Middleweight,Decision
8,35,0,N/A,3,Welterweight,Decision
1,20,1,N/A,2,Light Heavyweight,Submission
5,0,1,N/A,1,Welterweight,TKO
14,18,1,N/A,3,Light Heavyweight,TKO
5,16,0,N/A,2,Welterweight,Submission
2,0,2,N/A,1,Light Heavyweight,KO
8,0,0,N/A,1,Middleweight,KO
2,30,2,N/A,1,Heavyweight,KO
,0,0,N/A,2,Welterweight,Submission
1,1,3,N/A,3,Welterweight,Decision
2,2,0,N/A,1,Lightweight,KO
5,35,3,N/A,3,Light Heavyweight,Decision
2,0,0,N/A,3,Middleweight,Submission
8,0,1,N/A,1,Welterweight,Submission
,11,5,N/A,2,Middleweight,TKO
11,15,1,N/A,1,Middleweight,Submission
0,30,0,N/A,1,Middleweight,Submission
2,22,5,N/A,2,Middleweight,KO
5,24,4,N/A,1,Heavyweight,Submission
7,0,0,N/A,1,Middleweight,TKO
4,30,2,N/A,1,Light Heavyweight,KO
2,0,,N/A,1,Light Heavyweight,KO
6,22,2,N/A,1,Light Heavyweight,TKO
8,1,1,N/A,3,Welterweight,Decision
4,19,3,N/A,1,Welterweight,TKO
2,20,2,N/A,3,Light Heavyweight,Decision
6,9,2,N/A,3,Middleweight,Submission
10,27,0,N/A,1,Middleweight,TKO
2,0,0,N/A,3,Light Heavyweight,Decision
5,10,0,N/A,1,Lightweight,TKO
11,23,1,N/A,3,Light Heavyweight,Decision
5,0,1,N/A,1,Middleweight,TKO
,15,1,N/A,1,Welterweight,KO
1,0,3,N/A,1,Middleweight,TKO
3,15,2,N/A,1,Welterweight,KO
,1,4,N/A,1,Welterweight,TKO
6,2,1,N/A,1,Light Heavyweight,KO
3,54,3,N/A,2,Light Heavyweight,Submission
1,11,1,N/A,1,Welterweight,Submission
3,0,2,N/A,2,Middleweight,Submission
1,15,2,N/A,3,Welterweight,Decision
11,15,0,N/A,1,Middleweight,Submission
3,16,1,N/A,3,Middleweight,Submission
5,17,2,N/A,3,Light Heavyweight,Decision
1,6,3,N/A,1,Heavyweight,TKO
8,1,4,N/A,3,Welterweight,Decision
3,0,1,N/A,4,Middleweight,TKO
12,0,0,N/A,1,Light Heavyweight,Submission
4,40,0,N/A,1,Light Heavyweight,Submission
0,9,3,N/A,1,Middleweight,TKO
1,7,2,N/A,2,Light Heavyweight,TKO
6,25,5,N/A,1,Welterweight,KO
8,0,0,John McCarthy,3,Middleweight,Decision
0,15,0,Herb Dean,3,Middleweight,Decision
3,0,1,John McCarthy,3,Light Heavyweight,Decision
10,6,1,Cecil Peoples,1,Middleweight,TKO
6,0,1,Steve Mazzagatti,1,Welterweight,Submission
6,0,3,Herb Dean,1,Welterweight,TKO
1,25,2,Cecil Peoples,2,Featherweight,TKO
4,19,1,Steve Mazzagatti,1,Lightweight,TKO
6,19,1,N/A,4,Light Heavyweight,TKO
9,32,6,N/A,1,Heavyweight,KO
2,2,1,N/A,3,Light Heavyweight,Submission
9,16,2,N/A,2,Lightweight,Submission
9,11,2,N/A,1,Welterweight,Submission
7,1,0,N/A,3,Middleweight,Decision
1,20,2,N/A,3,Light Heavyweight,Decision
2,20,,N/A,2,Light Heavyweight,KO
8,7,0,N/A,2,Light Heavyweight,TKO
2,20,2,N/A,1,Middleweight,Submission
5,52,2,N/A,2,Light Heavyweight,TKO
2,19,0,N/A,3,Lightweight,TKO
7,15,3,N/A,2,Lightweight,Submission
1,13,1,N/A,3,Middleweight,Decision
3,1,1,Jon Schorle,3,Welterweight,TKO
5,36,1,John McCarthy,1,Heavyweight,KO
,35,1,Herb Dean,1,Heavyweight,TKO
8,6,0,Mario Yamasaki,1,Light Heavyweight,TKO
2,0,1,Herb Dean,2,Light Heavyweight,Submission
8,0,1,John McCarthy,2,Welterweight,TKO
3,4,4,Mario Yamasaki,3,Middleweight,Decision
,23,4,John McCarthy,2,Light Heavyweight,Submission
,20,4,Herb Dean,2,Middleweight,No
2,15,3,N/A,3,Lightweight,Decision
2,55,8,N/A,3,Light Heavyweight,Decision
2,15,5,N/A,3,Lightweight,Decision
1,22,2,N/A,2,Featherweight,Submission
1,10,0,N/A,1,Lightweight,KO
10,15,1,N/A,2,Lightweight,TKO
4,80,0,N/A,2,Middleweight,TKO
2,0,1,John McCarthy,1,Middleweight,KO
9,13,1,Herb Dean,3,Heavyweight,KO
9,0,3,John McCarthy,1,Welterweight,Submission
8,15,4,Herb Dean,2,Welterweight,TKO
3,19,1,Mario Yamasaki,3,Middleweight,Decision
,1,0,Herb Dean,2,Light Heavyweight,Submission
,15,1,Mario Yamasaki,1,Welterweight,TKO
0,0,2,Steve Mazzagatti,3,Welterweight,Decision
0,30,7,N/A,3,Heavyweight,Decision
1,0,,N/A,1,Light Heavyweight,Submission
1,4,0,N/A,1,Lightweight,Submission
8,0,2,N/A,1,Middleweight,TKO
0,15,2,N/A,1,Welterweight,Submission
1,1,2,N/A,1,Welterweight,TKO
4,0,2,N/A,1,Lightweight,TKO
,0,4,N/A,3,Welterweight,TKO
6,2,1,N/A,2,Light Heavyweight,KO
1,30,1,N/A,1,Light Heavyweight,KO
1,57,1,N/A,1,Light Heavyweight,TKO
10,0,2,N/A,1,Light Heavyweight,Submission
1,0,1,N/A,3,Welterweight,Decision
10,14,2,N/A,3,Middleweight,Decision
,45,2,N/A,2,Light Heavyweight,TKO
2,8,5,N/A,1,Heavyweight,TKO
6,76,1,N/A,3,Middleweight,Decision
5,7,1,N/A,5,Middleweight,Decision
,1,3,N/A,1,Welterweight,Submission
3,25,1,N/A,3,Welterweight,Decision
2,1,0,N/A,3,Middleweight,Decision
6,10,2,N/A,2,Featherweight,Submission
8,0,2,N/A,3,Lightweight,Decision
,25,5,N/A,1,Light Heavyweight,Submission
8,30,1,N/A,3,Light Heavyweight,TKO
2,20,1,N/A,3,Light Heavyweight,Decision
1,0,3,N/A,3,Light Heavyweight,Decision
1,15,4,N/A,3,Welterweight,Decision
1,2,2,N/A,3,Middleweight,Decision
,0,0,N/A,3,Welterweight,Decision
2,28,2,N/A,2,Middleweight,Submission
5,10,1,N/A,3,Super Heavyweight,Submission
,15,1,N/A,1,Welterweight,Submission
5,0,1,N/A,3,Light Heavyweight,Decision
5,24,4,N/A,1,Heavyweight,TKO
10,15,7,N/A,3,Lightweight,Decision
4,0,1,N/A,3,Light Heavyweight,Decision
9,0,2,N/A,1,Middleweight,Submission
7,33,7,N/A,3,Heavyweight,Decision
1,1,3,N/A,1,Welterweight,Submission
1,0,0,N/A,1,Middleweight,Submission
3,20,3,N/A,2,Light Heavyweight,TKO
5,1,1,N/A,1,Welterweight,TKO
7,6,3,N/A,1,Welterweight,TKO
5,0,0,N/A,1,Middleweight,Submission
2,0,0,N/A,3,Lightweight,Decision
3,30,1,N/A,1,Light Heavyweight,Submission
3,0,1,N/A,1,Welterweight,Submission
2,19,0,N/A,2,Middleweight,Submission
7,0,3,N/A,2,Lightweight,KO
7,1,2,N/A,2,Heavyweight,TKO
,0,,N/A,1,Lightweight,KO
8,10,1,N/A,1,Featherweight,Submission
2,20,5,N/A,2,Middleweight,TKO
2,20,4,N/A,3,Middleweight,Decision
3,34,0,N/A,3,Middleweight,Decision
,20,6,N/A,1,Middleweight,Submission
,20,4,N/A,1,Light Heavyweight,Submission
9,2,2,N/A,1,Middleweight,KO
8,21,0,N/A,1,Light Heavyweight,TKO
2,26,2,N/A,1,Light Heavyweight,Submission
1,1,0,N/A,3,Welterweight,Decision
5,0,3,N/A,1,Middleweight,KO
2,0,4,N/A,3,Light Heavyweight,Decision
5,9,1,N/A,3,Featherweight,Decision
3,15,0,N/A,3,Welterweight,Decision
4,25,4,N/A,1,Light Heavyweight,TKO
5,13,2,N/A,2,Middleweight,TKO
,25,3,N/A,1,Heavyweight,Submission
0,15,3,N/A,1,Welterweight,KO
5,24,4,John McCarthy,5,Heavyweight,Decision
3,15,1,Steve Mazzagatti,3,Lightweight,Decision
11,7,1,Herb Dean,1,Light Heavyweight,TKO
7,8,5,Yves Lavigne,3,Heavyweight,Decision
